,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_RECOVERED,CUMULATIVE_RECOVERED,NEW_DEATHS,CUMULATIVE_DEATHS,ACTIVE_CASES
0,2020-03-01,Belgium,19,19,0,0,0,0,19
1,2020-03-02,Belgium,19,38,0,0,0,0,38
2,2020-03-03,Belgium,34,72,0,0,0,0,72
3,2020-03-04,Belgium,53,125,0,0,0,0,125
4,2020-03-05,Belgium,81,206,0,0,0,0,206
5,2020-03-06,Belgium,110,316,0,0,0,0,316
6,2020-03-07,Belgium,27,343,0,0,0,0,343
7,2020-03-08,Belgium,64,407,0,0,0,0,407
8,2020-03-09,Belgium,94,501,0,0,0,0,501
9,2020-03-10,Belgium,99,600,0,0,1,1,599
10,2020-03-11,Belgium,174,774,0,0,3,4,770
11,2020-03-12,Belgium,250,1024,0,0,1,5,1019
12,2020-03-13,Belgium,338,1362,0,0,3,8,1354
13,2020-03-14,Belgium,179,1541,0,0,5,13,1528
14,2020-03-15,Belgium,214,1755,19,19,5,18,1718
15,2020-03-16,Belgium,387,2142,19,38,12,30,2074
16,2020-03-17,Belgium,422,2564,34,72,10,40,2452
17,2020-03-18,Belgium,534,3098,53,125,23,63,2910
18,2020-03-19,Belgium,713,3811,81,206,34,97,3508
19,2020-03-20,Belgium,662,4473,110,316,37,134,4023
20,2020-03-21,Belgium,469,4942,27,343,40,174,4425
21,2020-03-22,Belgium,486,5428,64,407,47,221,4800
22,2020-03-23,Belgium,1328,6756,94,501,78,299,5956
23,2020-03-24,Belgium,1195,7951,98,599,78,377,6975
24,2020-03-25,Belgium,1199,9150,171,770,107,484,7896
25,2020-03-26,Belgium,1363,10513,249,1019,103,587,8907
26,2020-03-27,Belgium,1518,12031,335,1354,128,715,9962
27,2020-03-28,Belgium,844,12875,174,1528,142,857,10490
28,2020-03-29,Belgium,683,13558,209,1737,149,1006,10815
29,2020-03-30,Belgium,1738,15296,375,2112,170,1176,12008
30,2020-03-31,Belgium,1681,16977,412,2524,208,1384,13069
31,2020-04-01,Belgium,1516,18493,511,3035,233,1617,13841
32,2020-04-02,Belgium,1478,19971,679,3714,219,1836,14421
33,2020-04-03,Belgium,1694,21665,625,4339,236,2072,15254
34,2020-04-04,Belgium,922,22587,429,4768,271,2343,15476
35,2020-04-05,Belgium,665,23252,439,5207,248,2591,15454
36,2020-04-06,Belgium,1934,25186,1250,6457,256,2847,15882
37,2020-04-07,Belgium,1515,26701,1117,7574,278,3125,16002
38,2020-04-08,Belgium,1598,28299,1092,8666,322,3447,16186
39,2020-04-09,Belgium,2239,30538,1260,9926,273,3720,16892
40,2020-04-10,Belgium,2336,32874,1390,11316,301,4021,17537
41,2020-04-11,Belgium,1029,33903,702,12018,284,4305,17580
42,2020-04-12,Belgium,524,34427,534,12552,266,4571,17304
43,2020-04-13,Belgium,537,34964,1568,14120,277,4848,15996
44,2020-04-14,Belgium,1560,36524,1473,15593,261,5109,15822
45,2020-04-15,Belgium,1633,38157,1283,16876,281,5390,15891
46,2020-04-16,Belgium,1674,39831,1259,18135,246,5636,16060
47,2020-04-17,Belgium,1394,41225,1458,19593,204,5840,15792
48,2020-04-18,Belgium,722,41947,651,20244,208,6048,15655
49,2020-04-19,Belgium,443,42390,417,20661,191,6239,15490
50,2020-04-20,Belgium,1276,43666,1678,22339,203,6442,14885
51,2020-04-21,Belgium,1270,44936,1237,23576,203,6645,14715
52,2020-04-22,Belgium,777,45713,1276,24852,181,6826,14035
53,2020-04-23,Belgium,976,46689,1966,26818,155,6981,12890
54,2020-04-24,Belgium,811,47500,2035,28853,155,7136,11511
55,2020-04-25,Belgium,388,47888,745,29598,142,7278,11012
56,2020-04-26,Belgium,205,48093,258,29856,153,7431,10806
57,2020-04-27,Belgium,755,48848,260,30116,134,7565,11167
58,2020-04-28,Belgium,569,49417,1299,31415,110,7675,10327
59,2020-04-29,Belgium,522,49939,1352,32767,106,7781,9391
60,2020-04-30,Belgium,586,50525,1428,34195,88,7869,8461
61,2020-05-01,Belgium,237,50762,1190,35385,93,7962,7415
62,2020-05-02,Belgium,286,51048,514,35899,76,8038,7111
63,2020-05-03,Belgium,140,51188,252,36151,94,8132,6905
